# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Post-P1 state: withCStringPooled (sync.Pool scratch) + gostringFast (one-pass inbound)
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkNativeTableModelSetRows-16       	   35024	     93065 ns/op	  147328 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   38778	     81504 ns/op	  147338 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   32925	     63431 ns/op	  147320 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   36885	     68689 ns/op	  147314 B/op	      20 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   13890	    158320 ns/op	  127991 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   20950	    100368 ns/op	  128004 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   20472	    129240 ns/op	  127996 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   16916	    261271 ns/op	  127973 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   15235	    205069 ns/op	  127978 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   14994	    145243 ns/op	  127992 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   10000	    317812 ns/op	  127981 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   15349	    192194 ns/op	  127964 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   16827	    140896 ns/op	  127987 B/op	      38 allocs/op
BenchmarkNativeOutlineModelSetRoots-16    	   19788	    135066 ns/op	  127993 B/op	      38 allocs/op
PASS
ok  	github.com/tmc/swiftui	527.312s
