# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# a2ui tip: 414e025ed93df3ef320367f6d41ad20ede418078
# Date: 2026-04-16T23:34:13Z
# Command: GOWORK=off go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .

goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateGetRepeated-16        	 2836743	       846.8 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2838208	       842.1 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2827092	       848.8 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2834770	       847.9 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2824880	       845.7 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2833780	       845.9 ns/op	     192 B/op	      16 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.038 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.022 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.022 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.022 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16              	1000000000	         1.024 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.540 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.539 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.544 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.540 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.543 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.549 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.554 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16             	1000000000	         1.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.606 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.648 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.629 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.611 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.611 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16              	1000000000	         1.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkStateGenReadHot/int-16           	15692876	       153.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	14549554	       172.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15485640	       151.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15667304	       152.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15790498	       152.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15617539	       152.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15794391	       153.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15675375	       152.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15706454	       152.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16           	15666490	       152.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/string-16        	10993557	       219.6 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	10912992	       219.9 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	10950754	       217.4 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	11126013	       217.7 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	10943229	       220.9 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	10950596	       219.2 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	11081400	       217.3 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	11012466	       216.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	11044720	       216.6 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16        	11087698	       226.3 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/float-16         	16329691	       151.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16113392	       148.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	15986854	       148.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16229548	       148.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16110224	       148.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16232859	       149.2 ns/op	      40 B/op	       3 allocs/op
